,RECIPE,RECIPE_LINK
0,3-INGREDIENT ONION PICKLE,https://food.ndtv.com/recipe-3-ingredient-onion-pickle-955910
1,3-INGREDIENT STUFFED MANGO KULFI,https://food.ndtv.com/recipe-3-ingredient-stuffed-mango-kulfi-958145
2,AAM KA ACHAAR,https://food.ndtv.com/recipe-aam-ka-achaar-1-386944
3,AAM KI CHUTNEY,https://food.ndtv.com/recipe-aam-ki-chutney-mango-chutney-491074
4,AAMCHOORI KARELEY,https://food.ndtv.com/recipe-amchoori-karelay-776223
5,AAMRAS,https://food.ndtv.com/recipe-aamras-847524
6,AANARSA,https://food.ndtv.com/recipe-aanarsa-951252
7,ACHAAR KA PARATHA,https://food.ndtv.com/recipe-achaar-ka-paratha-275015
8,ACHAARI ALOO,https://food.ndtv.com/recipe-achaari-aloo-951150
9,ACHAARI LACHHA PARATHA,https://food.ndtv.com/recipe-achaari-lachha-paratha-958386
10,ACHAARI PANEER PULAO,https://food.ndtv.com/recipe-achaari-paneer-pulao-958321
11,ACHARI PANEER PARATHA,https://food.ndtv.com/recipe-achari-paneer-paratha-955294
12,ACTIVE CHARCOAL MODAK,https://food.ndtv.com/recipe-active-charcoal-modak-953933
13,ADA PRADHAMAN,https://food.ndtv.com/recipe-ada-pradhaman-952489
14,ADRAK KA ACHAR,https://food.ndtv.com/recipe-adrak-ka-achar-955834
15,AGRA PARATHA THALI,https://food.ndtv.com/recipe-agra-paratha-thali-955179
16,AJWAIN AUR KALONJI KI NIMKI,https://food.ndtv.com/recipe-ajwain-aur-kalonji-ki-nimki-898178
17,AJWAINI PANEER KOFTA CURRY,https://food.ndtv.com/recipe-ajwaini-paneer-kofta-curry-953568
18,AL HACHI CHICKEN,https://food.ndtv.com/recipe-al-hachi-chicken-953393
19,ALMOND & WHITE CHOCOLATE GUJIYA,https://food.ndtv.com/recipe-almond-white-chocolate-gujiya-953477
20,ALMOND AND AMARANTH LADOO,https://food.ndtv.com/recipe-almond-and-amaranth-ladoo-952497
21,ALMOND AND PISTACHIO SHRIKHAND,https://food.ndtv.com/recipe-shrikhand-1-232816
22,ALMOND AND RAW BANANA GALAWAT,https://food.ndtv.com/recipe-almond-and-raw-banana-galawat-952800
23,ALMOND AND ROSE KHEER,https://food.ndtv.com/recipe-almond-and-rose-kheer-954499
24,ALMOND AND ROSE KHEER,https://food.ndtv.com/recipe-almond-and-rose-kheer-953478
25,ALMOND BISCOTTI,https://food.ndtv.com/recipe-almond-biscotti-852164
26,ALMOND MALAI KULFI,https://food.ndtv.com/recipe-almond-malai-kulfi-232857
